node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_007,41.576198,-0.800449,7,TCU,radio,2,1,7
TCU_SUNNER_ID_008,41.576196,-0.800305,8,TCU,radio,2,1,8
TCU_SUNNER_ID_009,41.576193,-0.800161,9,TCU,radio,2,1,9
TCU_SUNNER_ID_010,41.57619,-0.800017,10,TCU,radio,2,1,10
TCU_SUNNER_ID_011,41.576187,-0.799873,11,TCU,radio,2,1,11
TCU_SUNNER_ID_012,41.575602,-0.799893,12,TCU,radio,2,1,12
TCU_SUNNER_ID_013,41.576185,-0.799729,13,TCU,radio,2,1,13
TCU_SUNNER_ID_014,41.5756,-0.799749,14,TCU,radio,2,1,14
TCU_SUNNER_ID_015,41.576182,-0.799586,15,TCU,radio,2,1,15
TCU_SUNNER_ID_016,41.575597,-0.799605,16,TCU,radio,2,1,16
TCU_SUNNER_ID_017,41.576179,-0.799442,17,TCU,radio,2,1,17
TCU_SUNNER_ID_018,41.575594,-0.799462,18,TCU,radio,2,1,18
TCU_SUNNER_ID_019,41.576176,-0.799298,19,TCU,radio,2,1,19
TCU_SUNNER_ID_020,41.575591,-0.799318,20,TCU,radio,2,1,20
TCU_SUNNER_ID_021,41.576174,-0.799154,21,TCU,radio,2,1,21
TCU_SUNNER_ID_022,41.575589,-0.799174,22,TCU,radio,2,1,22
TCU_SUNNER_ID_023,41.576171,-0.79901,23,TCU,radio,2,1,23
TCU_SUNNER_ID_024,41.575586,-0.79903,24,TCU,radio,2,1,24
TCU_SUNNER_ID_025,41.576168,-0.798866,25,TCU,radio,2,1,25
TCU_SUNNER_ID_026,41.575583,-0.798886,26,TCU,radio,2,1,26
TCU_SUNNER_ID_027,41.575142,-0.798901,27,TCU,radio,2,1,27
TCU_SUNNER_ID_028,41.576165,-0.798723,28,TCU,radio,2,1,28
TCU_SUNNER_ID_029,41.57558,-0.798742,29,TCU,radio,2,1,29
TCU_SUNNER_ID_030,41.575139,-0.798757,30,TCU,radio,2,1,30
TCU_SUNNER_ID_031,41.576163,-0.798579,31,TCU,radio,2,1,31
TCU_SUNNER_ID_032,41.575578,-0.798599,32,TCU,radio,2,1,32
TCU_SUNNER_ID_033,41.574993,-0.798618,33,TCU,radio,2,1,33
TCU_SUNNER_ID_034,41.57616,-0.798435,34,TCU,radio,2,1,34
TCU_SUNNER_ID_035,41.575575,-0.798455,35,TCU,radio,2,1,35
TCU_SUNNER_ID_036,41.57499,-0.798475,36,TCU,radio,2,1,36
TCU_SUNNER_ID_037,41.576157,-0.798291,37,TCU,radio,2,1,37
TCU_SUNNER_ID_038,41.575572,-0.798311,38,TCU,radio,2,1,38
TCU_SUNNER_ID_039,41.574987,-0.798331,39,TCU,radio,2,1,39
TCU_SUNNER_ID_040,41.576154,-0.798147,40,TCU,radio,2,1,40
TCU_SUNNER_ID_041,41.575569,-0.798167,41,TCU,radio,2,1,41
TCU_SUNNER_ID_042,41.574984,-0.798187,42,TCU,radio,2,1,42
TCU_SUNNER_ID_043,41.576152,-0.798003,43,TCU,radio,2,1,43
TCU_SUNNER_ID_044,41.575567,-0.798023,44,TCU,radio,2,1,44
TCU_SUNNER_ID_045,41.574982,-0.798043,45,TCU,radio,2,1,45
HSU_03,41.576396,-0.801515,HSU 3,HSU,radio,2,1,
